Claim_Number,Policy_Number,Customer_ID,Vehicle_Age,IDV,Claim_Amount,Loss_Date,Intimation_Date,Claim_Cause,Garage_ID,Location
CLM0001,POL235,CUST475,4,548964.8,325505.1840607153,2024-10-14 21:41:08,2024-10-17 21:41:08,Minor Accident,GAR044,Chennai
CLM0002,POL113,CUST201,9,332245.65,148225.00278072103,2024-05-05 06:06:44,2024-05-05 06:06:44,Flood Damage,GAR010,Coimbatore
CLM0003,POL275,CUST365,10,393977.0,291883.42295451433,2023-08-25 14:20:03,2023-08-25 14:20:03,Major Accident,GAR014,Bangalore
CLM0004,POL018,CUST075,8,337347.0,217288.05299774758,2024-05-31 15:44:32,2024-06-01 15:44:32,Major Accident,GAR039,Coimbatore
CLM0005,POL387,CUST622,5,547510.5,429122.4735721938,2023-05-22 10:54:04,2023-05-29 10:54:04,Theft,GAR035,Coimbatore
CLM0006,POL266,CUST555,0,568963.0,525962.3271335316,2023-12-17 21:16:06,2023-12-25 21:16:06,Minor Accident,GAR012,Madurai
CLM0007,POL110,CUST236,7,306840.94999999995,110777.4150346064,2024-02-14 18:31:37,2024-02-18 18:31:37,Minor Accident,GAR001,Coimbatore
CLM0008,POL316,CUST322,0,501440.0,235702.60151814175,2024-07-06 12:33:00,2024-07-13 12:33:00,Minor Accident,GAR037,Bangalore
CLM0009,POL092,CUST585,9,276311.75,191613.4268869209,2023-05-19 18:08:19,2023-05-19 18:08:19,Theft,GAR032,Bangalore
CLM0010,POL220,CUST511,7,509909.3999999999,217391.0953630244,2024-07-18 03:20:05,2024-07-20 03:20:05,Minor Accident,GAR018,Chennai
CLM0011,POL100,CUST217,14,160461.59999999998,103243.17136790314,2023-11-22 21:36:53,2023-11-25 21:36:53,Major Accident,GAR014,Bangalore
CLM0012,POL283,CUST216,4,718689.6000000001,630899.9565326584,2024-10-04 09:58:41,2024-10-10 09:58:41,Minor Accident,GAR016,Bangalore
CLM0013,POL141,CUST522,12,260062.79999999993,123345.77515200572,2023-08-25 11:25:37,2023-09-02 11:25:37,Minor Accident,GAR045,Madurai
CLM0014,POL139,CUST150,5,372502.5,141792.31182679237,2024-07-04 07:07:52,2024-07-13 07:07:52,Major Accident,GAR022,Chennai
CLM0015,POL138,CUST460,11,438214.94999999995,236340.75168548938,2023-01-17 12:23:31,2023-01-17 12:23:31,Theft,GAR009,Chennai
CLM0016,POL024,CUST283,13,112543.54999999999,106756.18377888246,2023-11-13 16:27:24,2023-11-22 16:27:24,Theft,GAR011,Bangalore
CLM0017,POL366,CUST137,1,648830.0499999999,583445.4003375196,2023-10-11 13:44:08,2023-10-13 13:44:08,Fire,GAR020,Chennai
CLM0018,POL199,CUST214,10,438722.0,162462.8294862781,2023-01-13 18:46:26,2023-01-17 18:46:26,Minor Accident,GAR047,Madurai
CLM0019,POL077,CUST772,12,364065.5999999999,352473.71116104856,2024-05-10 01:32:26,2024-05-14 01:32:26,Fire,GAR010,Coimbatore
CLM0020,POL159,CUST555,7,470993.8999999999,344900.05827432725,2024-06-17 16:41:31,2024-06-20 16:41:31,Minor Accident,GAR047,Madurai
CLM0021,POL257,CUST177,1,683274.2,680192.4296170073,2023-04-18 12:16:20,2023-04-27 12:16:20,Theft,GAR011,Bangalore
CLM0022,POL038,CUST511,6,442355.19999999995,206015.60239117686,2024-01-11 02:45:29,2024-01-14 02:45:29,Minor Accident,GAR031,Coimbatore
CLM0023,POL010,CUST719,11,409505.39999999997,340813.61342871597,2024-12-23 06:37:54,2024-12-30 06:37:54,Fire,GAR029,Madurai
CLM0024,POL046,CUST783,11,360092.24999999994,322257.8035261392,2024-07-15 20:08:26,2024-07-20 20:08:26,Minor Accident,GAR044,Chennai
CLM0025,POL122,CUST719,7,335700.29999999993,193570.9790184849,2023-06-30 10:39:11,2023-07-08 10:39:11,Self Accident,GAR017,Coimbatore
CLM0026,POL269,CUST454,9,527707.9500000001,222101.03830878073,2023-09-17 15:09:00,2023-09-18 15:09:00,Theft,GAR024,Bangalore
CLM0027,POL076,CUST477,11,361796.85,208313.35067904275,2024-09-24 09:03:44,2024-09-26 09:03:44,Fire,GAR025,Bangalore
CLM0028,POL167,CUST397,10,343995.5,145289.32428306306,2023-04-07 02:11:53,2023-04-07 02:11:53,Minor Accident,GAR042,Bangalore
CLM0029,POL391,CUST492,10,324461.5,309113.6326011007,2024-02-28 18:09:15,2024-03-05 18:09:15,Major Accident,GAR033,Bangalore
CLM0030,POL328,CUST477,4,652563.2000000001,256098.85251992304,2024-11-17 04:41:23,2024-11-17 04:41:23,Minor Accident,GAR048,Coimbatore
CLM0031,POL353,CUST711,6,363808.89999999997,130080.6161753303,2024-06-16 05:09:50,2024-06-17 05:09:50,Major Accident,GAR016,Bangalore
CLM0032,POL312,CUST529,7,640231.1499999999,476135.93573846016,2023-11-09 00:55:20,2023-11-11 00:55:20,Fire,GAR005,Coimbatore
CLM0033,POL327,CUST200,7,319584.85,135124.40984907263,2024-09-30 12:42:54,2024-10-08 12:42:54,Minor Accident,GAR046,Madurai
CLM0034,POL275,CUST358,12,293937.5999999999,156650.79989733725,2023-01-04 05:58:30,2023-01-10 05:58:30,Self Accident,GAR018,Chennai
